iter	Passed	Remaining
1091	18235	148754
1092	18248	148708
1093	18266	148705
1094	18280	148663
1095	18297	148648
1096	18310	148603
1097	18326	148578
1098	18342	148560
1099	18354	148507
1100	18369	148475
1101	18404	148603
1102	18421	148590
1103	18437	148571
1104	18467	148659
1105	18481	148622
1106	18497	148601
1107	18510	148554
1108	18529	148557
1109	18558	148636
1110	18573	148605
1111	18589	148579
1112	18603	148543
1113	18614	148482
1114	18631	148467
1115	18649	148458
1116	18662	148415
1117	18697	148539
1118	18713	148518
1119	18728	148491
1120	18742	148454
1121	18772	148540
1122	18792	148545
1123	18820	148623
1124	18836	148598
1125	18850	148557
1126	18867	148547
1127	18879	148495
1128	18894	148458
1129	18909	148430
1130	18926	148415
1131	18942	148397
1132	18959	148377
1133	18974	148346
1134	18988	148311
1135	19003	148283
1136	19020	148268
1137	19050	148349
1138	19065	148323
1139	19081	148299
1140	19098	148287
1141	19126	148357
1142	19139	148312
1143	19149	148241
1144	19165	148216
1145	19189	148254
1146	19204	148230
1147	19217	148182
1148	19236	148179
1149	19248	148127
1150	19265	148111
1151	19281	148092
1152	19295	148058
1153	19311	148035
1154	19327	148008
1155	19338	147952
1156	19355	147931
1157	19367	147882
1158	19390	147911
1159	19402	147863
1160	19424	147886
1161	19440	147864
1162	19470	147944
1163	19486	147925
1164	19502	147903
1165	19516	147864
1166	19546	147950
1167	19562	147921
1168	19576	147889
1169	19587	147829
1170	19607	147836
1171	19623	147814
1172	19641	147804
1173	19669	147869
1174	19686	147855
1175	19717	147948
1176	19746	148019
1177	19764	148012
1178	19794	148096
1179	19807	148053
1180	19825	148042
1181	19839	148009
1182	19857	147996
1183	19867	147932
1184	19880	147888
1185	19901	147901
1186	19915	147865
1187	19930	147834
1188	19949	147836
1189	19962	147791
1190	19981	147789
1191	19996	147759
1192	20021	147804
1193	20036	147774
1194	20050	147737
1195	20063	147689
1196	20079	147669
1197	20091	147620
1198	20103	147566
1199	20124	147578
1200	20143	147580
1201	20157	147539
1202	20174	147528
1203	20202	147594
1204	20220	147582
1205	20234	147545
1206	20245	147490
1207	20264	147486
1208	20276	147435
1209	20290	147397
1210	20313	147426
1211	20342	147498
1212	20359	147483
1213	20373	147449
1214	20388	147418
1215	20402	147381
1216	20413	147324
1217	20431	147318
1218	20450	147316
1219	20458	147233
1220	20480	147257
1221	20495	147225
1222	20512	147211
1223	20526	147173
1224	20542	147149
1225	20556	147116
1226	20576	147123
1227	20589	147080
1228	20603	147040
1229	20615	146990
1230	20635	146994
1231	20664	147067
1232	20678	147032
1233	20691	146989
1234	20727	147109
1235	20756	147177
1236	20770	147140
1237	20786	147118
1238	20803	147099
1239	20815	147053
1240	20826	146990
1241	20839	146950
1242	20882	147118
1243	20912	147197
1244	20928	147171
1245	20941	147130
1246	20961	147133
1247	20974	147089
1248	20988	147056
1249	21003	147023
1250	21015	146970
1251	21036	146984
1252	21051	146960
1253	21082	147038
1254	21094	146991
1255	21108	146954
1256	21122	146917
1257	21137	146885
1258	21151	146847
1259	21164	146810
1260	21190	146855
1261	21201	146795
1262	21220	146796
1263	21236	146771
1264	21252	146749
1265	21267	146722
1266	21285	146711
1267	21314	146779
1268	21323	146713
1269	21338	146678
1270	21362	146711
1271	21376	146680
1272	21406	146750
1273	21419	146708
1274	21436	146690
1275	21448	146643
1276	21459	146584
1277	21475	146562
1278	21500	146601
1279	21517	146589
1280	21533	146562
1281	21559	146614
1282	21574	146582
1283	21590	146558
1284	21608	146550
1285	21623	146519
1286	21651	146577
1287	21663	146533
1288	21682	146531
1289	21697	146502
1290	21716	146497
1291	21744	146554
1292	21761	146544
1293	21775	146506
1294	21790	146477
1295	21805	146449
1296	21822	146429
1297	21837	146401
1298	21850	146360
1299	21869	146356
1300	21888	146353
1301	21899	146299
1302	21911	146251
1303	21922	146197
1304	21934	146148
1305	21960	146189
1306	21976	146168
1307	21991	146138
1308	22008	146126
1309	22025	146106
1310	22040	146076
1311	22055	146050
1312	22072	146034
1313	22100	146091
1314	22116	146066
1315	22130	146035
1316	22148	146025
1317	22161	145985
1318	22173	145932
1319	22184	145881
1320	22196	145831
1321	22209	145788
1322	22227	145783
1323	22242	145751
1324	22269	145800
1325	22282	145762
